2018-02-14 21:13:50.123 [main] INFO  com.corundumstudio.socketio.SocketIOServer - Session store / pubsub factory used: MemoryStoreFactory (local session store only)
2018-02-14 21:13:50.478 [main] INFO  com.bid.car.Main - server start
2018-02-14 21:13:50.478 [nioEventLoopGroup-2-1] INFO  com.corundumstudio.socketio.SocketIOServer - SocketIO server started at port: 8080
2018-02-14 21:13:50.478 [main] INFO  com.bid.car.Main - server start
2018-02-14 21:13:52.506 [nioEventLoopGroup-3-1] INFO  com.bid.car.Main - connection created by :/127.0.0.1:54174
2018-02-14 21:13:52.506 [nioEventLoopGroup-3-1] INFO  com.bid.car.Main - connection created by :/127.0.0.1:54174
2018-02-14 21:13:52.606 [nioEventLoopGroup-3-4] INFO  com.bid.car.Main - REGISTER CLIENT AS SERVER:/127.0.0.1:54174 , 
2018-02-14 21:13:52.606 [nioEventLoopGroup-3-4] INFO  com.bid.car.Main - REGISTER CLIENT AS SERVER:/127.0.0.1:54174 , 
2018-02-14 21:13:52.612 [nioEventLoopGroup-3-2] INFO  com.bid.car.Main - disconnect remote address:/127.0.0.1:54174
2018-02-14 21:13:52.612 [nioEventLoopGroup-3-2] INFO  com.bid.car.Main - disconnect remote address:/127.0.0.1:54174
2018-02-14 21:13:52.612 [nioEventLoopGroup-3-2] INFO  com.bid.car.Main - serverMap:{} clientMap:{}
2018-02-14 21:13:52.612 [nioEventLoopGroup-3-2] INFO  com.bid.car.Main - serverMap:{} clientMap:{}
2018-02-14 21:13:53.532 [nioEventLoopGroup-3-7] INFO  com.bid.car.Main - connection created by :/127.0.0.1:54180
2018-02-14 21:13:53.532 [nioEventLoopGroup-3-7] INFO  com.bid.car.Main - connection created by :/127.0.0.1:54180
2018-02-14 21:13:53.548 [nioEventLoopGroup-3-3] INFO  com.bid.car.Main - REGISTER CLIENT AS SERVER:/127.0.0.1:54180 , 
2018-02-14 21:13:53.548 [nioEventLoopGroup-3-3] INFO  com.bid.car.Main - REGISTER CLIENT AS SERVER:/127.0.0.1:54180 , 
2018-02-14 21:13:55.257 [nioEventLoopGroup-3-4] INFO  com.bid.car.Main - connection created by :/0:0:0:0:0:0:0:1:54194
2018-02-14 21:13:55.257 [nioEventLoopGroup-3-4] INFO  com.bid.car.Main - connection created by :/0:0:0:0:0:0:0:1:54194
2018-02-14 21:13:55.293 [nioEventLoopGroup-3-7] INFO  com.bid.car.Main - REGISTER WEB CLIENT AS CLIENT:/0:0:0:0:0:0:0:1:54194, 
2018-02-14 21:13:55.293 [nioEventLoopGroup-3-7] INFO  com.bid.car.Main - REGISTER WEB CLIENT AS CLIENT:/0:0:0:0:0:0:0:1:54194, 
2018-02-14 21:13:57.005 [nioEventLoopGroup-3-8] INFO  com.bid.car.Main - SEND IMAGE TO WEB:/0:0:0:0:0:0:0:1:54194
2018-02-14 21:13:57.005 [nioEventLoopGroup-3-8] INFO  com.bid.car.Main - SEND IMAGE TO WEB:/0:0:0:0:0:0:0:1:54194
2018-02-14 21:14:16.183 [nioEventLoopGroup-3-8] INFO  com.bid.car.Main - disconnect remote address:/127.0.0.1:54180
2018-02-14 21:14:16.183 [nioEventLoopGroup-3-8] INFO  com.bid.car.Main - disconnect remote address:/127.0.0.1:54180
2018-02-14 21:14:16.183 [nioEventLoopGroup-3-8] INFO  com.bid.car.Main - serverMap:{} clientMap:{/0:0:0:0:0:0:0:1:54194=com.corundumstudio.socketio.transport.NamespaceClient@a4f1f977}
2018-02-14 21:14:16.183 [nioEventLoopGroup-3-8] INFO  com.bid.car.Main - serverMap:{} clientMap:{/0:0:0:0:0:0:0:1:54194=com.corundumstudio.socketio.transport.NamespaceClient@a4f1f977}
2018-02-14 21:14:20.591 [nioEventLoopGroup-3-5] INFO  com.bid.car.Main - disconnect remote address:/0:0:0:0:0:0:0:1:54194
2018-02-14 21:14:20.591 [nioEventLoopGroup-3-5] INFO  com.bid.car.Main - disconnect remote address:/0:0:0:0:0:0:0:1:54194
2018-02-14 21:14:20.592 [nioEventLoopGroup-3-5] INFO  com.bid.car.Main - serverMap:{} clientMap:{}
2018-02-14 21:14:20.592 [nioEventLoopGroup-3-5] INFO  com.bid.car.Main - serverMap:{} clientMap:{}
2018-02-14 21:14:22.701 [Thread-0] INFO  com.corundumstudio.socketio.SocketIOServer - SocketIO server stopped
2018-02-14 21:14:22.702 [Thread-0] INFO  com.bid.car.Main - shutdown server
2018-02-14 21:14:22.702 [Thread-0] INFO  com.bid.car.Main - shutdown server
